fast,slow,portfolio
17,50,135053.99
16,50,135053.99
16,58,135040.49
15,58,135040.49
16,57,135040.49
23,46,135033.15999999997
22,46,135033.15999999997
22,47,135033.15999999997
25,31,134991.72000000003
18,27,134989.02000000002
17,46,134987.55
17,47,134987.55
28,31,134986.14
16,59,134902.28
23,56,134892.6
23,57,134892.6
24,56,134892.6
23,30,134884.44
19,34,134882.51
19,35,134882.51
19,36,134882.51
19,37,134882.51
15,60,134881.44
18,38,134881.32
18,39,134881.32
20,36,134881.32
20,35,134881.32
20,33,134881.32
19,38,134881.32
20,34,134881.32
13,18,134851.38
12,20,134818.62
23,58,134800.62
24,57,134800.62
17,55,134787.6
19,46,134756.90999999997
19,47,134756.90999999997
17,24,134730.81
17,27,134725.14
22,31,134718.56
20,29,134713.74999999997
16,54,134712.53
17,54,134712.53
19,48,134701.47999999998
19,49,134701.47999999998
20,48,134701.47999999998
21,58,134674.66
22,58,134674.66
21,59,134674.66
22,57,134674.66
26,27,134672.75999999998
17,60,134665.2
17,59,134665.2
17,56,134649.39
18,56,134649.39
19,45,134635.03999999998
19,44,134635.03999999998
15,52,134629.58000000002
15,53,134629.58000000002
26,31,134598.38
27,32,134582.93000000002
24,55,134581.01
24,51,134565.2
24,52,134565.2
20,31,134532.27000000002
21,30,134529.93000000002
24,27,134493.34000000003
24,50,134490.13
24,49,134490.13
24,25,134446.77999999997
28,44,134366.25
28,43,134366.25
21,25,134329.87
16,28,134316.28999999998
27,45,134310.82
28,45,134310.82
24,47,134310.29
21,26,134307.12
17,58,134292.23
17,57,134292.23
18,57,134292.23
14,52,134275.55
14,53,134275.55
21,27,134268.76
24,58,134268.59999999998
25,58,134268.59999999998
23,59,134268.59999999998
25,35,134222.08999999997
17,52,134221.1
16,53,134221.1
17,53,134221.1
22,55,134208.03999999998
24,54,134208.03999999998
24,53,134208.03999999998
23,55,134208.03999999998
22,56,134208.03999999998
20,24,134181.68
18,54,134158.45
18,53,134158.45
19,53,134158.45
24,33,134148.93000000002
24,34,134110.66
22,33,134103.68
19,23,134097.96999999997
18,55,134095.31
19,56,134095.31
19,55,134095.31
21,60,134050.66
22,59,134050.66
22,60,134050.66
23,36,134050.64
19,24,134021.48
19,54,134020.24
17,51,134019.53000000003
16,52,134019.53000000003
22,37,134010.90000000002
22,38,134010.90000000002
24,48,133998.7
21,57,133990.1
20,56,133990.1
21,56,133990.1
22,36,133963.0
22,39,133963.0
22,40,133963.0
20,25,133932.15000000002
27,51,133919.58000000002
27,50,133919.58000000002
23,41,133912.43
23,40,133912.43
22,41,133912.43
23,37,133912.43
27,48,133844.51
27,49,133844.51
20,42,133832.7
20,41,133832.7
23,28,133829.87000000002
23,38,133824.78999999998
23,39,133824.78999999998
20,27,133816.27
21,39,133792.96000000002
20,39,133792.96000000002
21,38,133792.96000000002
18,24,133771.91999999998
24,37,133763.3
22,42,133763.3
23,42,133763.3
22,35,133745.06
20,40,133745.06
22,34,133738.83000000002
24,26,133718.78999999998
21,41,133694.49000000002
20,43,133683.57
19,51,133667.02000000002
20,50,133667.02000000002
19,52,133667.02000000002
18,52,133667.02000000002
19,50,133667.02000000002
18,51,133667.02000000002
17,19,133656.26
24,40,133651.77
28,54,133639.06
23,29,133611.53000000003
21,40,133606.85
21,34,133591.39
21,35,133591.39
25,27,133549.31999999995
21,42,133545.36000000002
21,43,133545.36000000002
30,60,133528.94999999998
25,40,133502.63999999998
24,42,133502.63999999998
24,41,133502.63999999998
25,41,133502.63999999998
28,50,133477.28
28,49,133477.28
20,37,133461.54
20,38,133461.54
24,32,133430.94
29,45,133406.22999999998
28,48,133402.21
23,33,133384.14000000004
27,58,133372.1
27,57,133372.1
27,33,133371.52000000002
20,23,133339.31999999995
28,56,133326.65
30,48,133317.45
28,32,133311.65
10,24,133308.03999999998
10,25,133308.03999999998
28,57,133295.38
15,18,133291.81
25,44,133266.22
21,36,133259.97
21,37,133259.97
11,21,133226.87
24,35,133219.05
23,45,133215.28999999998
22,45,133215.28999999998
25,46,133210.79
25,45,133210.79
27,41,133189.5
26,41,133144.35
26,43,133144.35
26,42,133144.35
25,43,133144.35
25,42,133144.35
18,19,133140.31000000003
23,35,133125.46000000002
26,46,133118.81
24,36,133107.27999999997
27,44,133097.52
27,43,133097.52
26,44,133097.52
22,43,133093.41999999998
22,44,133093.41999999998
23,44,133093.41999999998
23,43,133093.41999999998
28,30,133092.28
30,49,133085.03
27,59,133049.41999999998
28,59,133049.41999999998
23,34,133042.51
26,45,133042.09
29,48,133009.96
28,58,133006.52
26,59,133006.52
26,60,133006.52
20,46,132997.35
21,46,132997.35
21,45,132997.35
29,60,132994.04
27,42,132975.65
29,58,132972.69999999998
24,45,132954.62999999998
24,44,132954.62999999998
20,47,132941.92
21,47,132941.92
22,24,132931.08
29,57,132929.8
30,59,132917.32
28,47,132910.78
28,46,132910.78
24,46,132899.19999999998
21,44,132875.48
20,44,132875.48
20,45,132875.48
23,27,132875.1
26,40,132832.75999999998
24,43,132832.75999999998
25,38,132832.75999999998
25,39,132832.75999999998
28,42,132785.92999999996
29,47,132782.54
26,55,132758.64
26,54,132758.64
25,55,132758.64
25,50,132742.83000000002
25,51,132742.83000000002
10,23,132739.31
22,53,132691.90000000002
23,52,132691.90000000002
22,54,132691.90000000002
23,53,132691.90000000002
29,46,132683.36000000002
25,49,132667.76
27,53,132666.66
27,54,132666.66
28,60,132657.16999999998
27,60,132657.16999999998
26,50,132650.85
26,51,132650.85
23,50,132616.83000000002
23,51,132616.83000000002
30,58,132580.44999999998
30,57,132580.44999999998
29,59,132580.44999999998
26,49,132575.78
22,51,132537.1
20,52,132537.1
21,53,132473.96000000002
20,54,132473.96000000002
20,55,132473.96000000002
21,54,132473.96000000002
21,55,132473.96000000002
22,52,132473.96000000002
25,54,132447.05
30,50,132416.28
20,53,132398.89
22,50,132398.89
21,51,132398.89
21,52,132398.89
25,52,132385.67
26,53,132385.67
21,22,132383.49000000002
11,22,132362.24
23,54,132334.74
26,52,132293.69
30,32,132258.01
25,56,132226.62
28,34,132215.76
10,22,132193.46
25,47,132176.33000000002
25,48,132176.33000000002
26,35,132143.03000000003
27,55,132134.63999999998
26,56,132134.63999999998
26,57,132134.63999999998
25,57,132134.63999999998
27,56,132134.63999999998
22,48,132125.40000000002
23,48,132125.40000000002
23,49,132125.40000000002
30,42,132108.61000000002
26,58,132103.37
12,19,132095.06
26,47,132084.35
26,48,132084.35
25,53,132074.08
30,45,132071.5
28,55,132057.91999999998
20,51,132045.67
20,49,132045.67
28,33,132032.05
27,46,132007.63
27,47,132007.63
29,31,132000.57
21,24,131931.95
13,17,131930.61
22,49,131907.46000000002
21,48,131907.46000000002
21,49,131907.46000000002
21,50,131907.46000000002
29,32,131895.86000000002
10,21,131877.77
11,20,131867.17
29,30,131847.37000000002
29,55,131784.32
24,39,131778.47
29,34,131754.91999999998
29,56,131661.07
30,56,131634.4
24,38,131629.34
30,54,131615.38999999998
27,34,131592.09000000003
30,44,131560.6
29,41,131540.77000000002
29,44,131532.93
30,47,131513.81
29,33,131477.33999999997
30,33,131476.71999999997
30,43,131438.73
28,37,131419.0
23,24,131407.11000000004
30,55,131392.07
28,51,131385.03
28,53,131308.2
30,51,131308.08
10,16,131234.06000000003
29,49,131211.73
25,34,131167.08
26,34,131153.57
28,40,131148.87999999998
30,46,131114.36000000002
27,39,131103.08
29,54,131080.48
28,39,131047.65
10,20,131013.26999999999
29,53,131007.93
27,40,131004.60999999999
23,26,130996.91
26,39,130959.45999999999
28,41,130949.18
28,52,130935.23000000001
29,52,130915.95000000001
29,50,130900.14000000001
27,38,130859.29999999999
10,19,130858.17000000004
11,16,130829.94
26,38,130814.15
14,15,130778.96000000002
29,42,130721.76000000001
29,43,130721.76000000001
28,38,130716.22999999998
26,37,130687.74000000002
26,36,130659.16
27,37,130643.66
25,37,130629.23000000001
30,36,130620.35999999996
29,36,130609.22999999995
27,36,130602.09
30,40,130556.88
29,51,130542.98000000001
27,52,130420.39000000001
30,41,130384.44000000003
30,34,130359.98000000001
30,37,130344.74000000002
30,53,130274.10999999999
30,52,130274.10999999999
30,39,130212.53
10,15,130206.03000000003
29,37,130141.42000000001
11,19,130074.13999999998
30,38,130050.44
29,39,129934.9
12,17,129888.88999999996
12,18,129810.08000000005
29,40,129748.79000000001
12,15,129616.78
14,16,129583.45000000007
12,16,129318.43
13,14,129117.16999999998
29,38,129073.07
30,35,128367.12999999998
13,15,128336.72999999995
10,17,128305.82999999999
27,35,128267.97000000003
28,36,127862.83999999997
11,17,127856.11000000002
13,16,127737.00000000003
11,15,127354.27000000002
28,35,127304.72999999998
10,18,127260.41
29,35,126995.28999999998
15,16,126910.91
11,14,126353.77000000002
11,13,126062.56000000004
11,18,125328.98000000001
12,14,125322.84
10,11,125218.53
10,14,123253.41999999998
12,13,122912.72000000003
11,12,122229.72999999992
10,13,121911.61999999997
10,12,121065.24000000002
